,Guest House,Place,room,bed,Condition,price,Travel Sustainable Level,Rating,Total Reviews
14700,KayDee GuestHouse,"Central Station, Rome",Comfort Room,1 double bed,Good,US$48,,7.3,297 reviews
14701,Sweet Home Faleria,"San Giovanni, Rome",Deluxe Double Room,"2 beds (1 sofa bed, 1 large double)",Fabulous,US$70,,8.8,122 reviews
14702,BeachFront Rooms Marina di Ragusa,Marina di Ragusa,Family Room with Private Bathroom,"3 beds (2 singles, 1 double)",Very good,US$53,,8.5,284 reviews
14703,Ai Giudici,"La Kalsa, Palermo",Double Room with Private Bathroom,1 large double bed,Superb,US$61,,9.0,43 reviews
14704,Royal Palace Gate,San Nicola La Strada,Quadruple Room with Private Bathroom,"3 beds (2 singles, 1 large double)",Review score,US$36,,6.8,63 reviews
14705,Gattini33,Matera,Deluxe Room,1 large double bed,Superb,US$53,,9.0,338 reviews
14706,Guest House Service - Express Airport Apartment,Modugno,Comfort Triple Room,Multiple bed types,Good,US$58,Travel Sustainable Level 1,7.6,152 reviews
14707,The Boutique Napoli Suite,"Plebiscito, Naples",Deluxe Room,1 large double bed,Fabulous,US$75,,8.7,643 reviews
14708,Kleine,Gressoney-Saint-Jean,Quadruple Room with Private Bathroom,"2 beds (1 bunk bed, 1 large double)",Good,US$107,,7.7,191 reviews
14709,La Pergola,Vezzano Ligure,Single Room with Shared Bathroom,1 single bed,Very good,US$42,Travel Sustainable Level 1,8.1,493 reviews
14710,Ai Senatori,"Vaticano Prati, Rome",Deluxe Triple Room,"2 beds (1 sofa bed, 1 large double)",Very good,US$128,,8.2,135 reviews
14711,Il Carro Comfortable Rooms,San Giovanni Gemini,Twin Room with Balcony,2 single beds,Exceptional,US$59,,9.5,51 reviews
14712,Dimora San Gregorio Luxury Rooms,"Monte di Pietà, Palermo",Deluxe Double or Twin Room,Beds: 1 double or 2 singles,Exceptional,US$74,,10.0,4 reviews
14713,CAVOUR BARI CENTRO _ BRAND CITY LIFE _,"Bari City Centre, Bari",Standard Double Room with Shared Bathroom,1 large double bed,Review score,US$34,,6.5,161 reviews
14714,Guest House Foligno Porta Romana,Foligno,Two-Bedroom Apartment,Entire apartment • 2 bedrooms • 1 bathroom • 1 kitchen • 645.8feet²2 large double beds,Superb,US$96,,9.2,233 reviews
14715,Agula Relais camera matrimoniale,Pugnano,Double Room,1 large double bed,Very good,US$41,,8.1,92 reviews
14716,ForliHouse,Forlì,Quadruple Room with Private Bathroom,"7 beds (3 singles, 4 doubles)",Very good,US$80,,8.3,3 reviews
14717,Palazzo Mulada,Frattamaggiore,Single Room,"2 beds (1 single, 1 extra-large double)",Very good,US$60,,8.5,288 reviews
14718,Blue Velvet Rooms,Tortolì,Double Room with Patio,1 large double bed,Exceptional,US$63,,9.5,187 reviews
14719,Vatican Luxury Home,"Vaticano Prati, Rome",Double Room,1 extra-large double bed,Very good,US$94,,8.1,290 reviews
14720,Casa Garibaldi,Pontremoli,Double Room,"2 beds (1 single, 1 large double)",Superb,US$55,,9.1,37 reviews
14721,Affittacamere Stelvio,Sondrio,Deluxe Double or Twin Room,2 single beds,Very good,US$48,,8.5,187 reviews
14722,Il Verrocchio,"San Marco - Santissima Annunziata, Florence",Double or Twin Room,Beds: 1 double or 2 singles,Good,US$47,,7.7,969 reviews
14723,Affittacamere Casa Quisquina,Santo Stefano Quisquina,Twin Room,2 single beds,Superb,US$51,,9.2,149 reviews
14724,Le Scale Sul Barocco,"Ragusa Ibla, Ragusa",Double Room with Terrace,1 large double bed,Very good,US$50,,8.5,452 reviews
14725,Dreaming in Rome - Vittorio Veneto Guest House,"Via Veneto, Rome",Triple Room,"2 beds (1 sofa bed, 1 large double)",Fabulous,US$79,,8.9,257 reviews
14726,LA CASCINA DEL VIAGGIATORE,Pianola,Twin Room with Bathroom,2 single beds,Very good,US$55,,8.5,227 reviews
14727,Pantheon Unique Rooms,"Pantheon, Rome",Deluxe Room,"2 beds (1 single, 1 large double)",Superb,US$181,,9.0,179 reviews
14728,B&B Al Centro Storico,Barletta,Double Room,1 large double bed,Fabulous,US$48,,8.8,250 reviews
14729,Dimora Tre Cancelli,Tricarico,Double Room,1 large double bed,Good,US$51,,7.6,94 reviews
14730,Babuccio Art Inn,"Trevi, Rome",Deluxe Double Room,1 extra-large double bed,Good,US$90,,7.3,102 reviews
14731,Domus Antica Aosta,Aosta,Superior Double Room with Balcony,1 extra-large double bed,Exceptional,US$105,,9.5,507 reviews
14732,Suitedream Vatican,"Vaticano Prati, Rome",Double Room with Balcony,1 large double bed,Good,US$79,,7.9,45 reviews
14733,Villa Mezzacollina,Battifolle,Suite,"Private suite • 1 bedroom • 1 living room • 2 bathrooms • 861.1feet²2 beds (1 single, 1 large double)",Fabulous,US$82,,8.9,47 reviews
14734,Yes I Know My Room,"Naples Historical Centre, Naples",Double Room with Private Bathroom,1 large double bed,Superb,US$56,,9.1,27 reviews
14735,Residenza Ognissanti,"Santa Maria Novella, Florence",Quadruple Room,"2 beds (1 extra-large double, 1 sofa bed)",Very good,US$123,,8.4,562 reviews
14736,Blue Inn Luxury Suites,"Via Veneto, Rome",Double Room with Balcony,1 extra-large double bed,Fabulous,US$117,,8.8,351 reviews
14737,Il Casale Relais,San Giuliano Terme,Comfort Double Room,1 large double bed,Fabulous,US$86,,8.6,205 reviews
14738,Alloggio Le Casette,"Verona Historical Centre, Verona",Double Room,1 double bed,Good,US$74,,7.9,314 reviews
14739,Charme Rooms,Taranto,Deluxe Double or Twin Room,"2 beds (1 single, 1 extra-large double)",Very good,US$56,,8.3,281 reviews
14740,Ca' dei Proverbi Suites,"Cannaregio, Venice",Suite,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 430.6feet²3 beds (2 sofa beds, 1 large double)",Superb,US$183,,9.3,426 reviews
14741,Residenza Frenguelli,Spello,Single Room,1 single bed,Fabulous,US$51,,8.7,508 reviews
14742,L'Imperiale RomaTrastevere,"Gianicolense, Rome",Double Room with Private Bathroom,1 large double bed,Good,US$82,,7.9,242 reviews
14743,Napoleone Luxury Home roma,"Central Station, Rome",Triple Room,"2 beds (1 single, 1 extra-large double)",Very good,US$81,,8.0,584 reviews
14744,Halex room&food,Nettuno,Budget Twin Room,2 single beds,Very good,US$75,,8.5,213 reviews
14745,Guest House Masterintrastevere,"Portuense, Rome",Double Room,1 extra-large double bed,Superb,US$107,,9.0,211 reviews
14746,Battisti 56,Porto SantʼElpidio,Double Room,1 large double bed,Superb,US$59,,9.0,148 reviews
14747,Miramed rooms,Termoli,Double Room,"2 beds (1 sofa bed, 1 large double)",Superb,US$41,,9.0,363 reviews
14748,Siberia Rooms,"Porta Nuova, Verona",Single Room with Private Bathroom,1 single bed,Fabulous,US$53,,8.7,341 reviews
14749,Sea view life,Carini,Double Room with Sea View,1 large double bed,Superb,US$69,,9.1,224 reviews
14750,GALLERIA DEL TORO 3 rooms,"Saragozza, Bologna",Double Room,1 double bed,Good,US$63,,7.0,584 reviews
14751,ANTICA VILLA - Guest House & Hammam - Servizi come un Hotel a Cuneo,Cuneo,Double Room,1 large double bed,Fabulous,US$78,,8.8,491 reviews
14752,Agula Relais camera matrimoniale,Pugnano,Double Room,1 large double bed,Very good,US$41,,8.1,92 reviews
14753,ForliHouse,Forlì,Quadruple Room with Private Bathroom,"7 beds (3 singles, 4 doubles)",Very good,US$84,,8.3,3 reviews
14754,Palazzo Mulada,Frattamaggiore,Single Room,"2 beds (1 single, 1 extra-large double)",Very good,US$60,,8.5,288 reviews
14755,Blue Velvet Rooms,Tortolì,Double Room with Patio,1 large double bed,Exceptional,US$66,,9.5,187 reviews
14756,Serendipity Rooms,"Milan City Centre, Milan",Junior Suite,Private suite1 large double bed,Very good,US$295,,8.5,"1,102 reviews"
14757,Vatican Luxury Home,"Vaticano Prati, Rome",Double Room,1 extra-large double bed,Very good,US$94,,8.1,290 reviews
14758,Casa Garibaldi,Pontremoli,Double Room,"2 beds (1 single, 1 large double)",Superb,US$58,,9.1,37 reviews
14759,Affittacamere Stelvio,Sondrio,Double or Twin Room,2 single beds,Very good,US$48,,8.5,187 reviews
14760,Il Verrocchio,"San Marco - Santissima Annunziata, Florence",Double or Twin Room,Beds: 1 double or 2 singles,Good,US$49,,7.7,969 reviews
14761,Affittacamere Casa Quisquina,Santo Stefano Quisquina,Twin Room,2 single beds,Superb,US$53,,9.2,149 reviews
14762,Le Scale Sul Barocco,"Ragusa Ibla, Ragusa",Double Room with Terrace,1 large double bed,Very good,US$52,,8.5,452 reviews
14763,Dreaming in Rome - Vittorio Veneto Guest House,"Via Veneto, Rome",Triple Room,"2 beds (1 sofa bed, 1 large double)",Fabulous,US$83,,8.9,257 reviews
14764,LA CASCINA DEL VIAGGIATORE,Pianola,Twin Room with Bathroom,2 single beds,Very good,US$55,Travel Sustainable Level 2,8.5,227 reviews
14765,Pantheon Unique Rooms,"Pantheon, Rome",Deluxe Room,"2 beds (1 single, 1 large double)",Superb,US$181,Travel Sustainable Level 1,9.0,179 reviews
14766,Dimora Tre Cancelli,Tricarico,Double Room,1 large double bed,Good,US$53,,7.6,94 reviews
14767,Babuccio Art Inn,"Trevi, Rome",Deluxe Double Room,1 extra-large double bed,Good,US$94,,7.3,102 reviews
14768,Masoun dou Caro,Pont-Saint-Martin,Deluxe Double or Twin Room,1 large double bed,Superb,US$96,,9.3,171 reviews
14769,Suitedream Vatican,"Vaticano Prati, Rome",Double Room with Balcony,1 large double bed,Good,US$79,,7.9,45 reviews
14770,Villa Mezzacollina,Battifolle,Suite,"Private suite • 1 bedroom • 1 living room • 2 bathrooms • 861.1feet²2 beds (1 single, 1 large double)",Fabulous,US$86,,8.9,47 reviews
14771,Yes I Know My Room,"Naples Historical Centre, Naples",Double Room with Private Bathroom,1 large double bed,Superb,US$59,Travel Sustainable Level 1,9.1,27 reviews
14772,Residenza Ognissanti,"Santa Maria Novella, Florence",Quadruple Room,"2 beds (1 extra-large double, 1 sofa bed)",Very good,US$130,,8.4,562 reviews
14773,Blue Inn Luxury Suites,"Via Veneto, Rome",Double Room with Balcony,1 extra-large double bed,Fabulous,US$117,Travel Sustainable Level 1,8.8,351 reviews
14774,Il Casale Relais,San Giuliano Terme,Comfort Double Room,1 large double bed,Fabulous,US$91,,8.6,205 reviews
14775,I Fiori di Miranda,Casarza Ligure,Economy Double Room,1 large double bed,Fabulous,US$59,,8.6,119 reviews
14776,Alloggio Le Casette,"Verona Historical Centre, Verona",Double Room,1 double bed,Good,US$77,,7.9,314 reviews
14777,Charme Rooms,Taranto,Deluxe Double or Twin Room,"2 beds (1 single, 1 extra-large double)",Very good,US$59,,8.3,281 reviews
14778,Ca' dei Proverbi Suites,"Cannaregio, Venice",Suite,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 430.6feet²3 beds (2 sofa beds, 1 large double)",Superb,US$192,,9.3,426 reviews
14779,Residenza Frenguelli,Spello,Single Room,1 single bed,Fabulous,US$53,,8.7,508 reviews
14780,Palà Suites,"Naples Historical Centre, Naples",Junior Suite with Balcony,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 602.8feet²4 beds (2 sofa beds, 2 large doubles)",Superb,US$137,,9.1,426 reviews
14781,La Torre dei Salterelli,"Uffizi, Florence",Standard Double Room,1 large double bed,Very good,US$131,,8.5,499 reviews
14782,Elite 19,La Spezia,Double Room with Balcony,1 large double bed,Superb,US$66,,9.3,363 reviews
14783,Villa Mezzacollina,Battifolle,Suite,"Private suite • 1 bedroom • 1 living room • 2 bathrooms • 861.1feet²2 beds (1 single, 1 large double)",Fabulous,US$86,,8.9,47 reviews
14784,SIGIS RESIDENCE Fiumicino,Fiumicino,Single Room,1 single bed,Fabulous,US$64,,8.7,379 reviews
14785,Affittacamere Mazzini 78,Grosseto,Single Room,1 single bed,Very good,US$63,,8.3,371 reviews
14786,La residenza del viale,Treviglio,Twin Room,2 single beds,,US$75,,,
14787,Residence Olbia,Olbia,Triple Room,"2 beds (1 single, 1 large double)",Fabulous,US$85,,8.6,359 reviews
14788,The Colours Of Rome,"Vaticano Prati, Rome",Standard Double Room,1 large double bed,Fabulous,US$117,,8.8,453 reviews
14789,The Inn at the Spanish Steps,"Spagna, Rome",One-Bedroom Apartment-Via delle Carrozze 25,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 430.6feet²1 large double bed,Very good,US$283,,8.2,261 reviews
14790,The Couper Colonna,"Pantheon, Rome",Deluxe Double Room,1 large double bed,Fabulous,US$226,,8.6,703 reviews
14791,Palazzo Castiglioni Luxury Suites,"Old Town, Mantova",Suite,Private suite1 large double bed,Superb,US$277,,9.3,130 reviews
14792,Maliziusella,"Port of Naples, Naples",Double Room,1 large double bed,Good,US$85,,7.8,300 reviews
14793,Grand Central Room,"Saragozza, Bologna",Standard Double Room,1 large double bed,Fabulous,US$110,,8.7,716 reviews
14794,Casa D'amore,Riomaggiore,Family Room with Private Bathroom,"3 beds (2 sofa beds, 1 large double)",Very good,US$192,,8.3,153 reviews
14795,Civico36,Passignano sul Trasimeno,King Room with Lake View,"2 beds (1 single, 1 large double)",Good,US$75,,7.8,281 reviews
14796,Palazzo Panzani,"San Lorenzo, Florence",Standard Single Room with Shared Bathroom,1 single bed,Review score,US$37,,6.4,127 reviews
14797,La Bella Verona Ugolini,"Verona Historical Centre, Verona",Standard Double Room,1 large double bed,Superb,US$147,,9.0,362 reviews
14798,Aparthotel San Gregorio 45,"Stazione Centrale, Milan",Deluxe Double Room with Balcony,1 large double bed,Very good,US$128,,8.3,"1,337 reviews"
14799,Colonna 32,"Vaticano Prati, Rome",Superior Double Room,Beds: 1 double or 2 singles,Fabulous,US$227,,8.9,411 reviews
14800,Palco Noir!,"Castellammare Vucciria, Palermo",Deluxe Junior Suite,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 366feet²2 beds (1 sofa bed, 1 large double)",Superb,US$183,,9.4,118 reviews
14801,Al Piccolo Scoglio - Room & Breakfast,Camogli,Double Room,1 extra-large double bed,Fabulous,US$90,,8.8,336 reviews
14802,DIMORA AL SARACENO,"Ferrara Old Town, Ferrara",Double Room with Private Bathroom,"2 beds (1 sofa bed, 1 large double)",Superb,US$64,,9.4,324 reviews
14803,Rental rooms Antonella,Tavullia,Triple Room with Private Bathroom,"2 beds (1 single, 1 large double)",Very good,US$94,,8.3,180 reviews
14804,LoryLu,Tropea,Deluxe Double or Twin Room,Multiple bed types,Fabulous,US$533,,8.9,121 reviews
14805,Elite 19,La Spezia,Double Room with Balcony,1 large double bed,Superb,US$66,,9.3,363 reviews
14806,SIGIS RESIDENCE Fiumicino,Fiumicino,Single Room,1 single bed,Fabulous,US$64,,8.7,379 reviews
14807,Sleep In Udine,Udine,Double Room with Private External Bathroom,"2 beds (1 single, 1 large double)",Fabulous,US$90,,8.8,542 reviews
14808,La residenza del viale,Treviglio,Twin Room,2 single beds,,US$75,,,
14809,Residence Olbia,Olbia,Triple Room,"2 beds (1 single, 1 large double)",Fabulous,US$85,,8.6,359 reviews
14810,The Inn at the Spanish Steps,"Spagna, Rome",One-Bedroom Apartment-Via delle Carrozze 25,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 430.6feet²1 large double bed,Very good,US$283,,8.2,261 reviews
14811,Civico36,Passignano sul Trasimeno,King Room with Lake View,"2 beds (1 single, 1 large double)",Good,US$75,,7.8,281 reviews
14812,The Couper Colonna,"Pantheon, Rome",Deluxe Double Room,1 large double bed,Fabulous,US$226,,8.6,703 reviews
14813,La Torre dei Salterelli,"Uffizi, Florence",Standard Double Room,1 large double bed,Very good,US$131,,8.5,499 reviews
14814,Alehouse,Sorrento,Deluxe Room,1 large double bed,Fabulous,US$75,,8.7,290 reviews
14815,Palazzo Castiglioni Luxury Suites,"Old Town, Mantova",Suite,Private suite1 large double bed,Superb,US$277,,9.3,130 reviews
14816,Maliziusella,"Port of Naples, Naples",Double Room,1 large double bed,Good,US$85,,7.8,300 reviews
14817,Grand Central Room,"Saragozza, Bologna",Standard Double Room,1 large double bed,Fabulous,US$110,,8.7,716 reviews
14818,Guest House Biffi Simone,"Santa Croce, Florence",Double Room with Private Bathroom,2 single beds,Fabulous,US$86,,8.9,215 reviews
14819,Palazzo Panzani,"San Lorenzo, Florence",Standard Single Room with Shared Bathroom,1 single bed,Review score,US$37,,6.4,127 reviews
14820,La Bella Verona Ugolini,"Verona Historical Centre, Verona",Standard Double Room,1 large double bed,Superb,US$147,,9.0,362 reviews
14821,Aparthotel San Gregorio 45,"Stazione Centrale, Milan",Deluxe Double Room with Balcony,1 large double bed,Very good,US$128,,8.3,"1,337 reviews"
14822,Colonna 32,"Vaticano Prati, Rome",Superior Double Room,Beds: 1 double or 2 singles,Fabulous,US$227,,8.9,411 reviews
14823,Palco Noir!,"Castellammare Vucciria, Palermo",Deluxe Junior Suite,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 366feet²2 beds (1 sofa bed, 1 large double)",Superb,US$183,,9.4,118 reviews
14824,Palermo Gallery,"Ruggero Settimo, Palermo",Double Room,1 extra-large double bed,Superb,US$103,,9.0,537 reviews
14825,Residenza Cardo Massimo,"Verona Historical Centre, Verona",Double Room,1 large double bed,Fabulous,US$143,,8.8,271 reviews
14826,DIMORA AL SARACENO,"Ferrara Old Town, Ferrara",Double Room with Private Bathroom,"2 beds (1 sofa bed, 1 large double)",Superb,US$64,,9.4,324 reviews
14827,Estay Stampace,Cagliari,Double Room with Private Bathroom,1 double bed,Good,US$58,,7.4,28 reviews
14828,PALAZZO FULGHER,Cagliari,Triple Room,"2 beds (1 single, 1 large double)",Superb,US$91,,9.0,283 reviews
14829,LHG Comfy Rooms,"Via Veneto, Rome",Economy Double Room,1 large double bed,Good,US$94,,7.9,858 reviews
14830,Colonna 32,"Vaticano Prati, Rome",Superior Double Room,Beds: 1 double or 2 singles,Fabulous,US$227,,8.9,411 reviews
14831,Palco Noir!,"Castellammare Vucciria, Palermo",Deluxe Junior Suite,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 366feet²2 beds (1 sofa bed, 1 large double)",Superb,US$183,Travel Sustainable Level 2,9.4,118 reviews
14832,Palermo Gallery,"Ruggero Settimo, Palermo",Double Room,1 extra-large double bed,Superb,US$103,,9.0,537 reviews
14833,Blunotte Potenza,Potenza,Double Room with Private Bathroom,1 large double bed,Fabulous,US$53,,8.9,272 reviews
14834,Al Piccolo Scoglio - Room & Breakfast,Camogli,Double Room,1 extra-large double bed,Fabulous,US$90,Travel Sustainable Level 1,8.8,336 reviews
14835,DIMORA AL SARACENO,"Ferrara Old Town, Ferrara",Double Room with Private Bathroom,"2 beds (1 sofa bed, 1 large double)",Superb,US$64,Travel Sustainable Level 2,9.4,324 reviews
14836,Rental rooms Antonella,Tavullia,Family Room with Private Bathroom,"3 beds (2 singles, 1 extra-large double)",Very good,US$94,Travel Sustainable Level 3,8.3,180 reviews
14837,Estay Stampace,Cagliari,Double Room with Private Bathroom,1 double bed,Good,US$58,,7.4,28 reviews
14838,PALAZZO FULGHER,Cagliari,Triple Room,"2 beds (1 single, 1 large double)",Superb,US$91,,9.0,283 reviews
14839,LHG Comfy Rooms,"Via Veneto, Rome",Economy Double Room,1 large double bed,Good,US$94,Travel Sustainable Level 1,7.9,858 reviews
14840,la casa di Marco,Canosa di Puglia,Family Room with Private Bathroom,"2 beds (1 sofa bed, 1 large double)",Very good,US$59,,8.3,89 reviews
14841,Residenza CuordiVerona,"Verona Historical Centre, Verona",Double Room,1 large double bed,Fabulous,US$96,,8.8,356 reviews
14842,Alehouse,Sorrento,Deluxe Room,1 large double bed,Fabulous,US$75,,8.7,290 reviews
14843,SIGIS RESIDENCE Fiumicino,Fiumicino,Single Room,1 single bed,Fabulous,US$64,Travel Sustainable Level 2,8.7,379 reviews
14844,Casa Le Piane,Strettura,Double Room with Private Bathroom,1 double bed,Very good,US$30,,8.0,24 reviews
14845,DOMY'S GUEST HOUSE,"Porta al Prato, Florence",Family Suite,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 344.4feet²2 beds (1 double, 1 sofa bed)",Good,US$55,,7.4,372 reviews
14846,Domus Napoleone,"Central Station, Rome",Deluxe Double or Twin Room,Beds: 1 double or 2 singles,Good,US$115,,7.9,176 reviews
14847,Residenza Due Torri check in presso HOTEL CENTRALE Vicolo Cattani 7,"Piazza Maggiore, Bologna",Quadruple Room,Multiple bed types,Good,US$142,,7.8,400 reviews
14848,Youroom Boncompagni,"Via Veneto, Rome",Superior King Room,1 extra-large double bed,Fabulous,US$129,,8.9,207 reviews
14849,Residenza Le 6 A,"Trieste City Centre, Trieste",Small Double Room,1 double bed,Fabulous,US$83,Travel Sustainable Level 2,8.8,653 reviews
14850,Serventi Longhi Rooms,"San Giovanni, Rome",Quadruple Room,"3 beds (2 singles, 1 large double)",Fabulous,US$123,,8.9,409 reviews
14851,Sopramoltivolti,"Albergaria, Palermo",Double or Twin Room with Terrace,Multiple bed types,Fabulous,US$63,Travel Sustainable Level 1,8.8,198 reviews
14852,Ibisco Affittacamere,Iesi,Double or Twin Room with Private Bathroom,"3 beds (2 singles, 1 extra-large double)",Superb,US$55,,9.3,111 reviews
14853,Casa vacanze alle Mura,Cividale del Friuli,Quadruple Room with Terrace,"2 beds (1 extra-large double, 1 bunk bed)",Exceptional,US$128,Travel Sustainable Level 1,9.6,162 reviews
14854,Croisette,"Crocetta, Turin",Standard Single Room,1 single bed,Superb,US$48,,9.0,114 reviews
14855,ANTICA VILLA - Guest House & Hammam - Servizi come un Hotel a Cuneo,Cuneo,Double Room,1 large double bed,Fabulous,US$78,,8.8,491 reviews
14856,Agula Relais camera matrimoniale,Pugnano,Double Room,1 large double bed,Very good,US$41,,8.1,92 reviews
14857,ForliHouse,Forlì,Quadruple Room with Private Bathroom,"7 beds (3 singles, 4 doubles)",Very good,US$84,,8.3,3 reviews
14858,Palazzo Mulada,Frattamaggiore,Single Room,"2 beds (1 single, 1 extra-large double)",Very good,US$60,,8.5,288 reviews
14859,Blue Velvet Rooms,Tortolì,Double Room with Patio,1 large double bed,Exceptional,US$66,,9.5,187 reviews
14860,Serendipity Rooms,"Milan City Centre, Milan",Junior Suite,Private suite1 large double bed,Very good,US$295,,8.5,"1,102 reviews"
14861,Vatican Luxury Home,"Vaticano Prati, Rome",Double Room,1 extra-large double bed,Very good,US$94,,8.1,290 reviews
14862,Casa Garibaldi,Pontremoli,Double Room,"2 beds (1 single, 1 large double)",Superb,US$58,,9.1,37 reviews
14863,Affittacamere Stelvio,Sondrio,Double or Twin Room,2 single beds,Very good,US$48,,8.5,187 reviews
14864,Il Verrocchio,"San Marco - Santissima Annunziata, Florence",Double or Twin Room,Beds: 1 double or 2 singles,Good,US$49,,7.7,969 reviews
14865,Affittacamere Casa Quisquina,Santo Stefano Quisquina,Twin Room,2 single beds,Superb,US$53,,9.2,149 reviews
14866,Le Scale Sul Barocco,"Ragusa Ibla, Ragusa",Double Room with Terrace,1 large double bed,Very good,US$52,,8.5,452 reviews
14867,Dreaming in Rome - Vittorio Veneto Guest House,"Via Veneto, Rome",Triple Room,"2 beds (1 sofa bed, 1 large double)",Fabulous,US$83,,8.9,257 reviews
14868,LA CASCINA DEL VIAGGIATORE,Pianola,Twin Room with Private Bathroom,2 single beds,Very good,US$55,Travel Sustainable Level 2,8.5,227 reviews
14869,Pantheon Unique Rooms,"Pantheon, Rome",Deluxe Room,"2 beds (1 single, 1 large double)",Superb,US$181,Travel Sustainable Level 1,9.0,179 reviews
14870,B&B Al Centro Storico,Barletta,Double Room,1 large double bed,Fabulous,US$48,,8.8,250 reviews
14871,Dimora Tre Cancelli,Tricarico,Double Room,1 large double bed,Good,US$53,,7.6,94 reviews
14872,Babuccio Art Inn,"Trevi, Rome",Deluxe Double Room,1 extra-large double bed,Good,US$94,,7.3,102 reviews
14873,Suitedream Vatican,"Vaticano Prati, Rome",Double Room with Balcony,1 large double bed,Good,US$79,,7.9,45 reviews
14874,Villa Mezzacollina,Battifolle,Suite,"Private suite • 1 bedroom • 1 living room • 2 bathrooms • 861.1feet²2 beds (1 single, 1 large double)",Fabulous,US$86,,8.9,47 reviews
14875,Yes I Know My Room,"Naples Historical Centre, Naples",Double Room with Private Bathroom,1 large double bed,Superb,US$59,Travel Sustainable Level 1,9.1,27 reviews
14876,Residenza Ognissanti,"Santa Maria Novella, Florence",Quadruple Room,"2 beds (1 extra-large double, 1 sofa bed)",Very good,US$130,,8.4,562 reviews
14877,Blue Inn Luxury Suites,"Via Veneto, Rome",Double Room with Balcony,1 extra-large double bed,Fabulous,US$117,Travel Sustainable Level 1,8.8,351 reviews
14878,Il Casale Relais,San Giuliano Terme,Comfort Double Room,1 large double bed,Fabulous,US$91,,8.6,205 reviews
14879,Alloggio Le Casette,"Verona Historical Centre, Verona",Double Room,1 double bed,Good,US$77,,7.9,314 reviews
14880,Agula Relais camera matrimoniale,Pugnano,Double Room,1 large double bed,Very good,US$41,,8.1,92 reviews
14881,ForliHouse,Forlì,Quadruple Room with Private Bathroom,"7 beds (3 singles, 4 doubles)",Very good,US$84,,8.3,3 reviews
14882,Palazzo Mulada,Frattamaggiore,Single Room,"2 beds (1 single, 1 extra-large double)",Very good,US$60,,8.5,288 reviews
14883,Blue Velvet Rooms,Tortolì,Double Room with Patio,1 large double bed,Exceptional,US$66,,9.5,187 reviews
14884,Serendipity Rooms,"Milan City Centre, Milan",Junior Suite,Private suite1 large double bed,Very good,US$295,,8.5,"1,102 reviews"
14885,Vatican Luxury Home,"Vaticano Prati, Rome",Double Room,1 extra-large double bed,Very good,US$94,,8.1,290 reviews
14886,Casa Garibaldi,Pontremoli,Double Room,"2 beds (1 single, 1 large double)",Superb,US$58,,9.1,37 reviews
14887,Affittacamere Stelvio,Sondrio,Deluxe Double or Twin Room,2 single beds,Very good,US$48,,8.5,187 reviews
14888,Affittacamere Casa Quisquina,Santo Stefano Quisquina,Twin Room,2 single beds,Superb,US$53,,9.2,149 reviews
14889,Le Scale Sul Barocco,"Ragusa Ibla, Ragusa",Double Room with Terrace,1 large double bed,Very good,US$52,,8.5,452 reviews
14890,Dreaming in Rome - Vittorio Veneto Guest House,"Via Veneto, Rome",Triple Room,"2 beds (1 sofa bed, 1 large double)",Fabulous,US$83,,8.9,257 reviews
14891,LA CASCINA DEL VIAGGIATORE,Pianola,Twin Room with Private Bathroom,2 single beds,Very good,US$55,Travel Sustainable Level 2,8.5,227 reviews
14892,Pantheon Unique Rooms,"Pantheon, Rome",Deluxe Room,"2 beds (1 single, 1 large double)",Superb,US$181,Travel Sustainable Level 1,9.0,179 reviews
14893,B&B Al Centro Storico,Barletta,Double Room,1 large double bed,Fabulous,US$48,,8.8,250 reviews
14894,Dimora Tre Cancelli,Tricarico,Double Room,1 large double bed,Good,US$53,,7.6,94 reviews
14895,Babuccio Art Inn,"Trevi, Rome",Deluxe Double Room,1 extra-large double bed,Good,US$99,,7.3,102 reviews
14896,Villa Mezzacollina,Battifolle,Suite,"Private suite • 1 bedroom • 1 living room • 2 bathrooms • 861.1feet²2 beds (1 single, 1 large double)",Fabulous,US$86,,8.9,47 reviews
14897,Yes I Know My Room,"Naples Historical Centre, Naples",Double Room with Private Bathroom,1 large double bed,Superb,US$59,Travel Sustainable Level 1,9.1,27 reviews
14898,Residenza Ognissanti,"Santa Maria Novella, Florence",Quadruple Room,"2 beds (1 extra-large double, 1 sofa bed)",Very good,US$130,,8.4,562 reviews
14899,Blue Inn Luxury Suites,"Via Veneto, Rome",Double Room with Balcony,1 extra-large double bed,Fabulous,US$117,Travel Sustainable Level 1,8.8,351 reviews
14900,Il Casale Relais,San Giuliano Terme,Comfort Double Room,1 large double bed,Fabulous,US$91,,8.6,205 reviews
14901,Alloggio Le Casette,"Verona Historical Centre, Verona",Double Room,1 double bed,Good,US$77,,7.9,314 reviews
