,Guest House,Place,room,bed,Condition,price,Travel Sustainable Level,Rating,Total Reviews
67,Vinto House Salerno Downtown,Salerno,Deluxe Room,1 large double bed,Fabulous,US$63,,8.9,601 reviews
68,Just Chilling Suite,"Rione Monti, Rome",Superior Double Room,1 large double bed,Fabulous,US$72,,8.9,825 reviews
69,Camere Pallotta,Macerata,Single Room with Private Bathroom,1 single bed,Very good,US$61,,8.0,528 reviews
70,Flora,Atrani,Double or Twin Room,1 large double bed,Fabulous,US$107,,8.7,168 reviews
71,ELICAL Exclusive Private Suites,"Trevi, Rome",Deluxe Triple Room,"2 beds (1 single, 1 extra-large double)",Superb,US$241,,9.3,339 reviews
72,Holidays Baia D'Amalfi,Amalfi,Double Room,1 large double bed,Very good,US$69,,8.5,"1,126 reviews"
73,Nikis Collection Navona,"Pantheon, Rome",Deluxe Double Room with Terrace,1 extra-large double bed,Superb,US$150,,9.0,746 reviews
74,Relais Monastero Santa Teresa - Albergo Diffuso,Nardò,Luxury Double Room with City View,1 large double bed,Fabulous,US$101,,8.8,357 reviews
75,Camere d'Aria,Locana,Economy Double Room,1 large double bed,Exceptional,US$100,,9.9,106 reviews
76,Nelli Rooms Via Veneto,La Spezia,Camera matrimoniale Superior con vasca,1 large double bed,Superb,US$90,,9.1,112 reviews
77,Palazzo al Carmine,Monreale,Deluxe Double Room,1 large double bed,Superb,US$67,,9.2,214 reviews
78,Vincafè,Alba,One-Bedroom Apartment - Attic,"Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 430.6feet²4 beds (1 single, 2 sofa beds, 1 large double)",Fabulous,US$122,,8.7,589 reviews
79,Antico Casale Caroli,Gattatico,Superior Double Room with Window,1 double bed,Superb,,,9.1,501 reviews
80,Palazzo Santori,Tivoli,Triple Room with Private Bathroom,"2 beds (1 single, 1 large double)",Good,US$74,,7.5,822 reviews
81,Casa Religiosa Di Ospitalità Nazareno,Spoleto,Single Room,1 single bed,Very good,US$45,,8.5,"2,257 reviews"
82,B&B Fuori Rotta,Avola,Triple Room with Private Bathroom,"2 beds (1 single, 1 large double)",Superb,US$44,,9.2,390 reviews
83,Palazzo Pianca,"San Marco, Venice",Deluxe Double Room,1 large double bed,Superb,,,9.0,837 reviews
84,Affittacamere Residenza Montedoro,Norcia,King Room,Beds: 1 double or 2 singles,Exceptional,US$69,,9.5,81 reviews
85,Charme,Solèminis,Large Single Room,1 single bed,Fabulous,US$43,,8.6,148 reviews
86,Petrarca Venti Rooms - Eja Sardinia,Cagliari,Double Room with Private Bathroom,1 large double bed,Superb,US$59,,9.1,31 reviews
87,Glam Resort Giulia,La Spezia,Double Room,1 large double bed,Very good,US$63,,8.5,407 reviews
88,"PC Boutique H Napoli Centro, by ClaPa Group","Port of Naples, Naples",Double Room with Balcony,1 large double bed,Very good,US$90,,8.0,"1,596 reviews"
89,Le Mirage boutique,Reggio Calabria,Deluxe Double Room with Shower,1 extra-large double bed,Fabulous,US$37,,8.8,317 reviews
90,Dorotea Rooms Torino,"San Salvario Valentino, Turin",Deluxe Double Room,1 large double bed,Superb,US$106,,9.4,10 reviews
91,Charme & Chic Luxury,"Pantheon, Rome",Deluxe Room,1 large double bed,Very good,US$223,,8.4,520 reviews
92,5Venti Rental Rooms,"La Kalsa, Palermo",Double Room with Balcony,1 large double bed,Superb,US$68,,9.3,88 reviews
93,Mia Suites,"Spagna, Rome",Double Room,1 large double bed,Good,US$110,,7.8,"1,043 reviews"
94,Spazio 77 - By House Of Travelers -,"Como City Centre, Como",Deluxe Apartment,"Entire apartment • 1 bedroom • 1 living room • 2 bathrooms • 1 kitchen • 538.2feet²2 beds (1 sofa bed, 1 large double)",Very good,US$133,,8.2,544 reviews
95,Pompei Luxury Rooms,Pompei,Double Room,1 large double bed,Very good,US$57,,8.0,284 reviews
96,Villa Marengo Guest House,Spinetta Marengo,Single Room,1 single bed,Superb,US$64,,9.1,91 reviews
97,Balbo - Suite & Apartment SIT,"Old Town, Lecce",Superior Suite,"Private suite • 1 bedroom • 2 living rooms • 1 bathroom • 592feet²3 beds (2 sofa beds, 1 large double)",Very good,US$83,,8.4,319 reviews
98,La terrazza dei ciliegi,Santa Maria degli Angeli,Large Double Room,1 large double bed,Superb,US$72,,9.1,233 reviews
99,San Luigi - Residenza Gemelli,"Trionfale, Rome",Single Room,1 single bed,Very good,US$85,,8.3,"1,255 reviews"
100,EVA LUXURY ROOMS CAGLIARI,Cagliari,Double Room with Private Bathroom,1 large double bed,Superb,US$67,,9.1,245 reviews
101,Casa Maghinardo,Brisighella,Double Room with Private Bathroom,1 large double bed,Exceptional,US$78,,9.6,225 reviews
102,Bellaroto Suite & SPA,"La Kalsa, Palermo",Deluxe Double Room with Balcony,1 large double bed,Superb,US$101,,9.1,275 reviews
103,Napoli Centro Suite e Spa,"Plebiscito, Naples",Deluxe Room (2 Adults + 1 Child),"2 beds (1 single, 1 large double)",Superb,US$102,,9.4,730 reviews
104,Ca' San Polo,"San Polo, Venice",Double or Twin Superior,1 double bed,Very good,,,8.3,"1,147 reviews"
105,Terrazze Naos,San Leone,Deluxe Double Room with Balcony,"2 beds (1 single, 1 large double)",Fabulous,US$77,,8.8,190 reviews
106,Dimore Annunziata,Aradeo,Single Room with Private Bathroom,Multiple bed types,Exceptional,US$43,,9.5,33 reviews
107,Home at Rome Vatican Suites,"Vaticano Prati, Rome",Budget Double or Twin Room,Beds: 1 double or 2 singles,Fabulous,US$105,,8.9,614 reviews
108,Maison Farinet,Saint-Rhémy-en-bosses,Deluxe Apartment,"Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 861.1feet²2 beds (1 extra-large double, 1 sofa bed)",Exceptional,US$192,,9.5,54 reviews
109,La Polena Camere Vernazza - Suite vista mare,Vernazza,Suite with Sea View,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 269.1feet²3 beds (2 sofa beds, 1 large double)",Superb,US$128,,9.2,176 reviews
110,Asmundo di Gisira,"City Centre, Catania",Deluxe Room,1 large double bed,Superb,US$227,,9.4,355 reviews
111,Enny Camere,Alcamo,Double Room,1 large double bed,Fabulous,US$43,,8.9,331 reviews
112,Podere Alberello,Torrita di Siena,Triple Room with Shower,"2 beds (1 single, 1 large double)",Superb,US$79,,9.4,192 reviews
113,Martini Rooms Castello,"Castello, Cagliari",Double Room with Private External Bathroom,"2 beds (1 sofa bed, 1 large double)",Superb,US$66,,9.2,144 reviews
114,Residenza Ducale,Bovino,Double Room,1 large double bed,Superb,US$48,,9.3,205 reviews
115,Residenza Cavallini,"Vaticano Prati, Rome",Standard Single Room,1 single bed,Good,US$135,,7.7,951 reviews
116,Eco Chalet Maison Dominique,Challand Saint Anselme,Deluxe Double Room with Terrace,1 large double bed,Fabulous,US$99,,8.6,221 reviews
117,Atena Rooms,Cagliari,Double Room with Spa Bath,1 large double bed,Very good,US$75,,8.4,307 reviews
118,Suite Art Navona,"Navona, Rome",Double Superior,1 double bed,Very good,,,8.0,502 reviews
119,Borgese Camere e Suites,Neive,Double Room with Balcony,1 large double bed,Exceptional,US$128,,9.6,415 reviews
120,Il Vicolo,"Lucca Centro Storico, Lucca",Double Room with Private Bathroom,1 extra-large double bed,Superb,US$65,Travel Sustainable Level 1,9.4,492 reviews
121,La Lanterna Sul Comò,Civitavecchia,Quadruple Room,"3 beds (2 singles, 1 large double)",Superb,US$117,Travel Sustainable Level 1,9.3,537 reviews
122,Al Castello,Morano Calabro,Double Room,1 double bed,Superb,US$46,Travel Sustainable Level 2,9.0,157 reviews
123,Villa Torretta,Varenna,Double Room with Lake View,1 large double bed,Superb,US$198,Travel Sustainable Level 1,9.2,28 reviews
124,Scaravelli Residenza,"Old Town, Mantova",Comfort Double Room,1 large double bed,Fabulous,US$134,,8.9,971 reviews
125,Guest House Antico Frantoio Pietrasanta Affittacamere,Pietrasanta,Double Room,Multiple bed types,Superb,US$80,,9.0,310 reviews
126,Nuova Opera Rooms,"Borgo Trento, Verona",Triple Room with City View,Multiple bed types,Superb,US$74,Travel Sustainable Level 2,9.1,"1,038 reviews"
